################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################## 
# Cumulated fluxes on the left, right, bottom and top boundaries at each time
# time	left cumulative flux (m^2)	right cumulative flux (m^2)	bottom cumulative flux (m^2)	top cumulative flux (m^2)
0	0.0119463	        0	        0	        0
0	0.0238927	        0	-1.26051e-12	-1.26052e-12
0.000135576	 0.035839	        0	-2.58252e-12	-2.58256e-12
0.000135576	0.0477854	        0	-5.28767e-12	-5.28783e-12
0.000271152	0.0597317	        0	-8.05399e-12	-8.05436e-12
0.000271152	0.0716781	        0	-1.23253e-11	-1.23261e-11
0.000406728	0.0836244	        0	-1.66574e-11	-1.66589e-11
0.000406728	0.0955707	        0	-2.26155e-11	-2.2618e-11
0.000542304	 0.107517	        0	-2.86341e-11	-2.86375e-11
0.000542304	 0.119463	        0	-3.6399e-11	-3.64035e-11
0.00067788	  0.13141	        0	-4.42241e-11	-4.42297e-11
0.00067788	 0.143356	        0	-5.39155e-11	-5.39222e-11
0.000813456	 0.155302	        0	-6.3667e-11	-6.3675e-11
0.000813456	 0.167249	        0	-7.5405e-11	-7.54143e-11
0.000949032	 0.179195	        0	-8.72032e-11	-8.7214e-11
0.000949032	 0.191141	        0	-1.01108e-10	-1.01121e-10
0.00108461	 0.203088	        0	-1.15073e-10	-1.15087e-10
0.00108461	 0.215034	        0	-1.31264e-10	-1.3128e-10
0.00122018	 0.226981	        0	-1.47514e-10	-1.47532e-10
0.00122018	 0.238927	        0	-1.66109e-10	-1.6613e-10
0.00135576	 0.250873	        0	-1.84764e-10	-1.84786e-10
0.00135576	  0.26282	        0	-2.05881e-10	-2.05906e-10
0.00149134	 0.274766	        0	-2.27057e-10	-2.27085e-10
0.00149134	 0.286712	        0	-2.50813e-10	-2.50844e-10
0.00162691	 0.298659	        0	-2.74627e-10	-2.74661e-10
0.00162691	 0.310605	        0	-3.01138e-10	-3.01175e-10
0.00176249	 0.322551	        0	-3.27706e-10	-3.27747e-10
0.00176249	 0.334498	        0	-3.57087e-10	-3.57131e-10
0.00189806	 0.346444	        0	-3.86525e-10	-3.86573e-10
0.00189806	  0.35839	        0	-4.18885e-10	-4.18938e-10
0.00203364	 0.370337	        0	-4.51303e-10	-4.5136e-10
0.00203364	 0.382283	        0	-4.8675e-10	-4.86812e-10
0.00216922	 0.394229	        0	-5.22254e-10	-5.22321e-10
0.00216922	 0.406176	        0	-5.60894e-10	-5.60967e-10
0.00230479	 0.418122	        0	-5.9959e-10	-5.99669e-10
0.00230479	 0.430068	        0	-6.4153e-10	-6.41615e-10
0.00244037	 0.442015	        0	-6.83526e-10	-6.83618e-10
0.00244037	 0.453961	        0	-7.28875e-10	-7.28974e-10
0.00257594	 0.465907	        0	-7.74283e-10	-7.74388e-10
0.00257594	 0.477854	        0	-8.23155e-10	-8.23269e-10
0.00271152	   0.4898	        0	-8.72087e-10	-8.72208e-10
0.00271152	 0.501746	        0	-9.24595e-10	-9.24725e-10
0.0028471	 0.513693	        0	-9.77161e-10	-9.773e-10
0.0028471	 0.525639	        0	-1.03341e-09	-1.03356e-09
0.00298267	 0.537585	        0	-1.08972e-09	-1.08988e-09
0.00298267	 0.549532	        0	-1.14981e-09	-1.14998e-09
0.00311825	 0.561478	        0	-1.20996e-09	-1.21014e-09
