################################################################################ 
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################################ 
# time 	(i-0.5)*dx 	(j-0.5)*dy	 h[i][j] 	 u[i][j] 	  v[i][j]
# 
0	7.9629	   3.8481	      0.0	      0.0	      0.0
0.006960704447	7.9629	   3.8481	      0.0	      0.0	      0.0
0.01392140889	7.9629	   3.8481	      0.0	      0.0	      0.0
0.02088211334	7.9629	   3.8481	      0.0	      0.0	      0.0
0.02784281779	7.9629	   3.8481	      0.0	      0.0	      0.0
0.03480352223	7.9629	   3.8481	      0.0	      0.0	      0.0
0.04176422668	7.9629	   3.8481	      0.0	      0.0	      0.0
0.04872493113	7.9629	   3.8481	      0.0	      0.0	      0.0
0.05568563557	7.9629	   3.8481	      0.0	      0.0	      0.0
0.06264634002	7.9629	   3.8481	      0.0	      0.0	      0.0
0.06960704447	7.9629	   3.8481	      0.0	      0.0	      0.0
0.07656774891	7.9629	   3.8481	      0.0	      0.0	      0.0
0.08352845336	7.9629	   3.8481	      0.0	      0.0	      0.0
0.09048915781	7.9629	   3.8481	      0.0	      0.0	      0.0
0.09744986225	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1044105667	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1113712711	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1183319756	7.9629	   3.8481	      0.0	      0.0	      0.0
0.12529268	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1322533845	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1392140889	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1461747934	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1531354978	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1600962023	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1670569067	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1740176112	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1809783156	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1879390201	7.9629	   3.8481	      0.0	      0.0	      0.0
0.1948997245	7.9629	   3.8481	      0.0	      0.0	      0.0
0.201860429	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2088211334	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2157818378	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2227425423	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2297032467	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2366639512	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2436246556	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2505853601	7.9629	   3.8481	      0.0	      0.0	      0.0
0.2575460645	7.9629	   3.8481	      0.0	      0.0	      0.0
0.264506769	7.9629	   3.8481	      0.0	      0.0	      0.0
