################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.1	      0.1	0.00258557	0.0132343	0.00867476	 0.202586	      0.2	 0.015824	0.0993581	6.84366e-06	4.48585e-06	4.09141e-05
0.1	      0.3	0.00179188	0.00283921	 0.335121	 0.146877	 0.145085	 0.335133	  2.52771	1.01751e-06	0.0001201	0.000600519
0.1	      0.5	0.00211007	 0.002104	 0.412295	0.0826931	 0.080583	   0.4123	   2.8657	8.87917e-07	0.000173994	0.000869981
0.1	      0.7	0.00243687	0.00228951	 0.479922	0.00964287	 0.007206	 0.479928	  3.10403	1.11585e-06	0.000233901	0.00116952
0.1	      0.9	0.00267266	0.00250722	 0.535143	-0.0712233	-0.073896	 0.535149	  3.30498	1.34019e-06	0.000286051	0.00143027
0.1	      1.1	0.00286342	0.00268611	 0.580071	-0.158334	-0.161197	 0.580077	  3.46105	1.5383e-06	0.000332197	 0.001661
0.1	      1.3	0.00302228	0.00283636	 0.614765	-0.249839	-0.252861	 0.614771	  3.57036	1.71446e-06	0.000371598	0.00185801
0.1	      1.5	0.00317584	0.00299776	 0.640526	-0.343667	-0.346843	 0.640533	  3.62892	1.90408e-06	0.000406842	0.00203423
0.1	      1.7	0.0033375	0.00320294	 0.653262	-0.437641	-0.440979	  0.65327	  3.61033	2.13797e-06	0.000436053	0.00218029
0.1	      1.9	0.00348376	0.00343609	 0.656137	-0.529618	-0.533102	 0.656146	   3.5493	2.3941e-06	0.000457164	0.00228585
0.1	      2.1	0.00363508	0.00370803	 0.650706	-0.617505	 -0.62114	 0.650716	  3.44588	2.69579e-06	0.000473073	0.0023654
0.1	      2.3	0.00379666	0.00403741	 0.636777	-0.699428	-0.703225	  0.63679	   3.2996	3.06573e-06	0.000483525	0.00241767
0.1	      2.5	0.00398088	0.00452668	 0.611677	-0.773799	 -0.77778	 0.611694	  3.09535	3.60404e-06	0.000487003	0.00243508
0.1	      2.7	0.00518252	-0.00570923	 0.568877	-0.838414	-0.843597	 0.568905	   2.5231	-5.91764e-06	0.000589643	0.00294837
0.1	      2.9	0.0191454	-0.217981	 0.655265	-0.880755	  -0.8999	  0.69057	  1.59346	-0.000834669	0.00250907	0.0132213
0.1	      3.1	 0.060618	-0.212197	 0.639713	-0.885761	-0.946379	 0.673988	 0.874011	-0.00257259	0.00775563	0.0408558
0.1	      3.3	 0.110559	-0.106231	 0.579532	-0.872648	-0.983207	 0.589188	 0.565746	-0.00234897	0.0128145	0.0651402
0.1	      3.5	 0.124652	-0.092338	 0.731127	-0.886378	 -1.01103	 0.736935	 0.666416	-0.00230202	0.0182272	0.0918602
0.1	      3.7	 0.130561	-0.0590579	 0.868699	-0.900379	 -1.03094	 0.870704	 0.769359	-0.00154213	0.0226837	  0.11368
0.1	      3.9	 0.130035	-0.0258125	 0.957489	-0.914385	 -1.04442	 0.957837	 0.848061	-0.000671304	0.0249014	 0.124552
0.1	      4.1	 0.128526	-0.0135951	  1.00447	-0.924724	 -1.05325	  1.00456	  0.89464	-0.000349465	0.0258201	 0.129112
0.1	      4.3	 0.123196	-0.00133954	  1.06044	-0.936274	 -1.05947	  1.06044	  0.96461	-3.30054e-05	0.0261284	 0.130642
0.1	      4.5	 0.118446	0.00377263	  1.09248	-0.946774	 -1.06522	  1.09249	   1.0135	8.93705e-05	0.0258801	 0.129401
0.1	      4.7	 0.108663	0.0092749	  1.17005	-0.964017	 -1.07268	  1.17009	   1.1333	0.000201567	0.0254282	 0.127145
0.1	      4.9	0.0975335	0.0149198	  1.26693	-0.986406	 -1.08394	  1.26702	   1.2953	0.000291035	0.0247136	 0.123577
0.1	      5.1	0.0862099	0.0208426	  1.37713	  -1.0147	 -1.10091	  1.37729	  1.49766	0.000359368	0.0237445	 0.118736
0.1	      5.3	0.0745033	0.0280951	  1.50156	  -1.0507	  -1.1252	  1.50182	   1.7567	0.000418635	0.0223742	 0.111891
0.1	      5.5	0.0644511	0.0371563	  1.61825	 -1.09363	 -1.15808	  1.61868	  2.03569	0.000478953	0.0208596	 0.104326
0.1	      5.7	0.0541613	0.0472186	  1.74447	 -1.14624	  -1.2004	  1.74511	  2.39411	0.000511485	0.0188966	0.0945176
0.1	      5.9	0.0460881	0.0562728	  1.83465	 -1.20643	 -1.25252	  1.83551	  2.72979	0.000518701	0.0169111	0.0845953
0.1	      6.1	0.0386714	0.0622494	  1.90945	 -1.27568	 -1.31435	  1.91046	  3.10176	0.000481454	0.0147682	0.0738802
0.1	      6.3	0.0332379	0.0644889	  1.94922	 -1.35207	 -1.38531	  1.95029	  3.41545	0.000428695	0.0129576	0.0648236
0.1	      6.5	0.0281973	0.0628426	  1.94495	 -1.43615	 -1.46435	  1.94596	  3.69996	0.000354399	0.0109685	 0.054871
0.1	      6.7	0.0248223	0.0588777	  1.91974	 -1.52525	 -1.55007	  1.92064	  3.89216	0.000292296	0.00953045	0.0476747
0.1	      6.9	0.0213165	0.0486122	    1.869	 -1.61937	 -1.64069	  1.86963	  4.08849	0.000207249	0.00796812	0.0398541
0.1	      7.1	0.0188112	0.0378052	  1.79166	 -1.71542	 -1.73423	  1.79206	  4.17167	0.000142232	0.00674064	0.0337107
0.1	      7.3	0.0169381	0.0302673	  1.69599	  -1.8116	 -1.82854	  1.69626	  4.16128	0.000102534	0.0057454	0.0287316
0.1	      7.5	0.0154415	0.0253178	  1.59165	 -1.90602	 -1.92146	  1.59185	  4.09001	7.81889e-05	0.00491549	0.0245806
0.1	      7.7	0.0141361	0.0218997	  1.48164	 -1.99672	 -2.01086	  1.48181	  3.97917	6.19151e-05	0.00418892	0.0209469
0.1	      7.9	0.0131131	0.0195758	  1.36935	  -2.0817	 -2.09481	  1.36949	  3.81832	5.13397e-05	0.00359128	0.0179582
0.1	      8.1	0.0120661	0.0180433	  1.23237	 -2.15957	 -2.17164	   1.2325	  3.58236	4.35422e-05	0.00297396	0.0148714
0.1	      8.3	0.0195807	0.0164447	 0.846292	 -2.22046	 -2.24004	 0.846452	  1.93132	6.43997e-05	0.0033142	0.0165741
0.1	      8.5	0.0794946	-0.00153778	  0.18686	 -2.21961	  -2.2991	 0.186866	 0.211606	-2.4449e-05	0.00297087	0.0148549
0.1	      8.7	 0.148493	-0.0548043	 0.185528	 -2.19989	 -2.34838	 0.193454	 0.160284	-0.00162761	0.00550991	0.0287264
0.1	      8.9	 0.192712	-0.0843975	 0.327631	 -2.19519	  -2.3879	 0.338327	 0.246064	-0.00325288	0.0126277	0.0651996
0.1	      9.1	  0.22532	-0.0812826	   0.4883	 -2.19287	 -2.41819	 0.495018	 0.332956	-0.00366292	0.0220048	 0.111538
0.1	      9.3	 0.243722	-0.0843286	 0.674036	  -2.1965	 -2.44022	 0.679291	 0.439313	-0.00411055	0.0328555	 0.165558
0.1	      9.5	 0.245058	-0.0665621	 0.900764	 -2.21029	 -2.45535	  0.90322	 0.582538	-0.00326232	0.0441479	 0.221342
0.1	      9.7	  0.24069	-0.0463506	  1.04188	 -2.22462	 -2.46531	  1.04292	 0.678712	-0.00223123	0.0501542	 0.251019
