################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################## 
# time	Vol_of_tot	Vol_inf_tot	Vol_rain_tot	Vol_bound_tot
0.02	3.69444e-05	        0	3.69444e-05	        0
0.04	7.38887e-05	        0	7.38887e-05	        0
0.06	0.000110833	        0	0.000110833	        0
0.08	0.000147777	        0	0.000147777	        0
0.1	0.000184721	        0	0.000184722	        0
0.12	0.000221665	        0	0.000221666	        0
0.14	0.000258608	        0	0.000258611	        0
0.16	0.000295552	        0	0.000295555	        0
0.18	0.000332495	        0	0.000332499	        0
0.2	0.000369438	        0	0.000369444	        0
0.22	0.00040638	        0	0.000406388	        0
0.24	0.000443323	        0	0.000443332	        0
0.26	0.000480265	        0	0.000480277	        0
0.28	0.000517207	        0	0.000517221	        0
0.3	0.000554148	        0	0.000554165	        0
0.32	0.000591089	        0	0.00059111	        0
0.34	0.00062803	        0	0.000628054	        0
0.36	0.000664971	        0	0.000664998	        0
0.38	0.000701911	        0	0.000701943	        0
0.4	0.000738851	        0	0.000738887	        0
0.42	0.000775791	        0	0.000775832	        0
0.44	0.00081273	        0	0.000812776	        0
0.46	0.000849669	        0	0.00084972	        0
0.48	0.000886607	        0	0.000886665	        0
0.5	0.000923545	        0	0.000923609	        0
0.52	0.000960483	        0	0.000960553	        0
0.54	0.00099742	        0	0.000997498	        0
0.56	0.00103436	        0	0.00103444	        0
0.58	0.00107129	        0	0.00107139	        0
0.6	0.00110823	        0	0.00110833	        0
0.62	0.00114516	        0	0.00114528	        0
0.64	0.0011821	        0	0.00118222	        0
0.66	0.00121903	        0	0.00121916	        0
0.68	0.00125597	        0	0.00125611	        0
0.7	0.0012929	        0	0.00129305	        0
0.72	0.00132983	        0	  0.00133	        0
0.74	0.00136677	        0	0.00136694	        0
0.76	0.0014037	        0	0.00140389	        0
0.78	0.00144063	        0	0.00144083	        0
0.8	0.00147756	        0	0.00147777	        0
0.82	0.00151449	        0	0.00151472	        0
0.84	0.00155142	        0	0.00155166	        0
0.86	0.00158835	        0	0.00158861	        0
0.88	0.00162528	        0	0.00162555	        0
0.9	0.00166221	        0	0.0016625	        0
0.92	0.00169914	        0	0.00169944	        0
0.94	0.00173607	        0	0.00173638	        0
0.96	0.00177299	        0	0.00177333	        0
0.98	0.00180992	        0	0.00181027	        0
1	0.00184684	        0	0.00184722	        0
1.02	0.00188377	        0	0.00188416	1.92597e-08
1.04	0.00192069	        0	0.00192111	1.92597e-08
1.06	0.00195762	        0	0.00195805	1.92597e-08
1.08	0.00199454	        0	 0.001995	1.92597e-08
1.1	0.00203146	        0	0.00203194	1.92597e-08
1.12	0.00206839	        0	0.00206888	1.92597e-08
1.14	0.00210531	        0	0.00210583	1.92597e-08
1.16	0.00214223	        0	0.00214277	1.92597e-08
1.18	0.00217915	        0	0.00217972	1.92597e-08
1.2	0.00221607	        0	0.00221666	1.92597e-08
1.22	0.00225299	        0	0.00225361	1.92597e-08
1.24	0.00228991	        0	0.00229055	1.92597e-08
1.26	0.00232682	        0	0.00232749	1.92597e-08
1.28	0.00236374	        0	0.00236444	1.92597e-08
1.3	0.00240066	        0	0.00240138	1.92597e-08
1.32	0.00243757	        0	0.00243833	1.92597e-08
1.34	0.00247449	        0	0.00247527	1.92597e-08
1.36	0.0025114	        0	0.00251222	1.92597e-08
1.38	0.00254831	        0	0.00254916	1.92597e-08
1.4	0.00258523	        0	0.00258611	1.92597e-08
1.42	0.00262214	        0	0.00262305	1.92597e-08
1.44	0.00265905	        0	0.00265999	1.92597e-08
1.46	0.00269596	        0	0.00269694	1.92597e-08
1.48	0.00273287	        0	0.00273388	1.92597e-08
1.5	0.00276978	        0	0.00277083	1.92597e-08
1.52	0.00280669	        0	0.00280777	1.92597e-08
1.54	0.0028436	        0	0.00284472	1.92597e-08
1.56	0.00288051	        0	0.00288166	1.92597e-08
1.58	0.00291741	        0	0.0029186	1.92597e-08
1.6	0.00295432	        0	0.00295555	1.92597e-08
1.62	0.00299122	        0	0.00299249	1.92597e-08
1.64	0.00302813	        0	0.00302944	1.92597e-08
1.66	0.00306503	        0	0.00306638	1.92597e-08
1.68	0.00310193	        0	0.00310333	1.92597e-08
1.7	0.00313884	        0	0.00314027	1.92597e-08
1.72	0.00317574	        0	0.00317721	1.92597e-08
1.74	0.00321264	        0	0.00321416	1.92597e-08
1.76	0.00324954	        0	0.0032511	1.92597e-08
1.78	0.00328644	        0	0.00328805	1.92597e-08
1.8	0.00332333	        0	0.00332499	1.92597e-08
1.82	0.00336023	        0	0.00336194	1.92597e-08
1.84	0.00339713	        0	0.00339888	1.92597e-08
1.86	0.00343402	        0	0.00343583	1.92597e-08
1.88	0.00347092	        0	0.00347277	1.92597e-08
1.9	0.00350781	        0	0.00350971	1.92597e-08
1.92	0.00354471	        0	0.00354666	1.92597e-08
1.94	0.0035816	        0	0.0035836	1.92597e-08
1.96	0.00361849	        0	0.00362055	1.92597e-08
1.98	0.00365538	        0	0.00365749	1.92597e-08
2	0.00369227	        0	0.00369444	1.92597e-08
2.02	0.00372916	        0	0.00373138	7.45875e-08
2.04	0.00376605	        0	0.00376832	7.45875e-08
2.06	0.00380293	        0	0.00380527	7.45875e-08
2.08	0.00383982	        0	0.00384221	7.45875e-08
2.1	0.00387671	        0	0.00387916	7.45875e-08
2.12	0.00391359	        0	0.0039161	7.45875e-08
2.14	0.00395048	        0	0.00395305	7.45875e-08
2.16	0.00398736	        0	0.00398999	7.45875e-08
2.18	0.00402424	        0	0.00402694	7.45875e-08
2.2	0.00406112	        0	0.00406388	7.45875e-08
2.22	 0.004098	        0	0.00410082	7.45875e-08
2.24	0.00413488	        0	0.00413777	7.45875e-08
2.26	0.00417176	        0	0.00417471	7.45875e-08
2.28	0.00420864	        0	0.00421166	7.45875e-08
2.3	0.00424551	        0	0.0042486	7.45875e-08
2.32	0.00428239	        0	0.00428555	7.45875e-08
2.34	0.00431926	        0	0.00432249	7.45875e-08
2.36	0.00435614	        0	0.00435943	7.45875e-08
2.38	0.00439301	        0	0.00439638	7.45875e-08
2.4	0.00442988	        0	0.00443332	7.45875e-08
2.42	0.00446676	        0	0.00447027	7.45875e-08
2.44	0.00450363	        0	0.00450721	7.45875e-08
2.46	0.00454049	        0	0.00454416	7.45875e-08
2.48	0.00457736	        0	0.0045811	7.45875e-08
2.5	0.00461423	        0	0.00461804	7.45875e-08
2.52	0.0046511	        0	0.00465499	7.45875e-08
2.54	0.00468796	        0	0.00469193	7.45875e-08
2.56	0.00472483	        0	0.00472888	7.45875e-08
2.58	0.00476169	        0	0.00476582	7.45875e-08
2.6	0.00479855	        0	0.00480277	7.45875e-08
2.62	0.00483541	        0	0.00483971	7.45875e-08
2.64	0.00487227	        0	0.00487666	7.45875e-08
2.66	0.00490913	        0	0.0049136	7.45875e-08
2.68	0.00494599	        0	0.00495054	7.45875e-08
2.7	0.00498285	        0	0.00498749	7.45875e-08
2.72	0.00501971	        0	0.00502443	7.45875e-08
2.74	0.00505656	        0	0.00506138	7.45875e-08
2.76	0.00509342	        0	0.00509832	7.45875e-08
2.78	0.00513027	        0	0.00513527	7.45875e-08
2.8	0.00516712	        0	0.00517221	7.45875e-08
2.82	0.00520398	        0	0.00520915	7.45875e-08
2.84	0.00524083	        0	0.0052461	7.45875e-08
2.86	0.00527767	        0	0.00528304	7.45875e-08
2.88	0.00531452	        0	0.00531999	7.45875e-08
2.9	0.00535137	        0	0.00535693	7.45875e-08
2.92	0.00538822	        0	0.00539388	7.45875e-08
2.94	0.00542506	        0	0.00543082	7.45875e-08
2.96	0.00546191	        0	0.00546777	7.45875e-08
2.98	0.00549875	        0	0.00550471	7.45875e-08
3	0.00553559	        0	0.00554165	7.45875e-08
3.02	0.00557243	        0	0.0055786	1.77908e-07
3.04	0.00560927	        0	0.00561554	1.77908e-07
3.06	0.00564611	        0	0.00565249	1.77908e-07
3.08	0.00568295	        0	0.00568943	1.77908e-07
3.1	0.00571979	        0	0.00572638	1.77908e-07
