################################################################################
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################################
# To get a file for one point (ex point whose coordinates are x=0.1 and y=0.3) :
# gawk '{if(($2== 0.1) && ($3==0.3)){print $0}}' hu_specific_points.dat > file_one_point.txt
################################################################################
# time 	(i-0.5)*dx 	(j-0.5)*dy	 h[i][j] 	 u[i][j] 	  v[i][j]
# 
0	4.775	    2.275	      0.0	      0.0	      0.0
0	4.825	    2.275	      0.0	      0.0	      0.0
0	4.875	    2.275	      0.0	      0.0	      0.0
0	4.925	    2.275	      0.0	      0.0	      0.0
0	4.975	    2.275	      0.0	      0.0	      0.0
0	4.775	    2.325	      0.0	      0.0	      0.0
0	4.825	    2.325	      0.0	      0.0	      0.0
0	4.875	    2.325	      0.0	      0.0	      0.0
0	4.925	    2.325	      0.0	      0.0	      0.0
0	4.975	    2.325	      0.0	      0.0	      0.0
0	4.775	    2.375	      0.0	      0.0	      0.0
0	4.825	    2.375	      0.0	      0.0	      0.0
0	4.875	    2.375	      0.0	      0.0	      0.0
0	4.925	    2.375	      0.0	      0.0	      0.0
0	4.975	    2.375	      0.0	      0.0	      0.0
0	4.775	    2.425	      0.0	      0.0	      0.0
0	4.825	    2.425	      0.0	      0.0	      0.0
0	4.875	    2.425	      0.0	      0.0	      0.0
0	4.925	    2.425	      0.0	      0.0	      0.0
0	4.975	    2.425	      0.0	      0.0	      0.0
0	4.775	    2.475	      0.0	      0.0	      0.0
0	4.825	    2.475	      0.0	      0.0	      0.0
0	4.875	    2.475	      0.0	      0.0	      0.0
0	4.925	    2.475	      0.0	      0.0	      0.0
0	4.975	    2.475	      0.0	      0.0	      0.0
0	4.775	    2.525	      0.0	      0.0	      0.0
0	4.825	    2.525	      0.0	      0.0	      0.0
0	4.875	    2.525	      0.0	      0.0	      0.0
0	4.925	    2.525	      0.0	      0.0	      0.0
0	4.975	    2.525	      0.0	      0.0	      0.0

5.02	4.775	    2.275	0.0002100415595	0.007655988689	-0.001277257329
5.02	4.825	    2.275	0.0002109149869	0.007733450875	-0.001269309221
5.02	4.875	    2.275	0.0002112249956	0.007763047914	-0.001266456102
5.02	4.925	    2.275	0.0002113245735	0.007773195638	-0.001265527274
5.02	4.975	    2.275	0.0002154701427	0.007805317577	-0.001165473412
5.02	4.775	    2.325	9.759553323e-05	0.002873903127	-0.002873648202
5.02	4.825	    2.325	9.760596951e-05	0.002874471581	-0.002874486807
5.02	4.875	    2.325	9.76095192e-05	0.002874718159	-0.002874745953
5.02	4.925	    2.325	9.761054977e-05	0.002874802979	-0.002874815042
5.02	4.975	    2.325	9.787336981e-05	0.002869554587	-0.002908698808
5.02	4.775	    2.375	9.756355245e-05	0.002871682804	-0.002871728724
5.02	4.825	    2.375	9.759588425e-05	0.00287363863	-0.002873946038
5.02	4.875	    2.375	9.760673921e-05	0.002874456171	-0.002874611584
5.02	4.925	    2.375	9.760986655e-05	0.002874731405	-0.002874785083
5.02	4.975	    2.375	9.861297782e-05	0.00285584695	-0.002997863349
5.02	4.775	    2.425	9.74849702e-05	0.002865589852	-0.002868161863
5.02	4.825	    2.425	9.757159017e-05	0.002871444607	-0.002872993188
5.02	4.875	    2.425	9.760013038e-05	0.002873784511	-0.00287438552
5.02	4.925	    2.425	9.760825653e-05	0.002874551308	-0.002874736768
5.02	4.975	    2.425	0.0001011344718	0.002812054763	-0.003284828857
5.02	4.775	    2.475	9.733010372e-05	0.002852001404	-0.002863755153
5.02	4.825	    2.475	9.752513566e-05	0.00286681349	-0.00287193134
5.02	4.875	    2.475	9.758775114e-05	0.002872418161	-0.002874158151
5.02	4.925	    2.475	9.760528372e-05	0.002874194312	-0.002874693205
5.02	4.975	    2.475	0.0001088912571	0.002691452151	-0.004090362816
5.02	4.775	    2.525	9.710758516e-05	0.002829498849	-0.002861961462
5.02	4.825	    2.525	9.746138908e-05	0.002859708203	-0.002871693466
5.02	4.875	    2.525	9.757129621e-05	0.002870427462	-0.002874154153
5.02	4.925	    2.525	9.760142057e-05	0.002873692871	-0.002874703397
5.02	4.975	    2.525	0.0001299160518	0.00240562019	-0.005795191947

10	4.775	    2.275	0.0005948313684	0.0254467116	-0.002836620204
10	4.825	    2.275	0.0006262064497	0.02737938963	-0.002665222348
10	4.875	    2.275	0.0006539256671	0.02908168618	-0.002567074351
10	4.925	    2.275	0.0006777848044	0.03056570805	-0.002505627017
10	4.975	    2.275	0.0007070916879	0.03178206689	-0.002712987563
10	4.775	    2.325	0.0001905672655	0.006651839259	-0.00629535084
10	4.825	    2.325	0.0001898850786	0.006515741558	-0.006338124269
10	4.875	    2.325	0.0001906072312	0.006483217316	-0.006422238168
10	4.925	    2.325	0.0001917415224	0.006504992527	-0.006501737889
10	4.975	    2.325	0.000207469191	0.00636592741	-0.00806335141
10	4.775	    2.375	0.0001866550798	0.006523862482	-0.006065955469
10	4.825	    2.375	0.000186826763	0.006373404748	-0.00619575963
10	4.875	    2.375	0.0001885463689	0.006368848399	-0.0063415888
10	4.925	    2.375	0.0001904895415	0.006427068404	-0.006459219033
10	4.975	    2.375	0.0002250829026	0.006115551008	-0.009887497554
10	4.775	    2.425	0.0001806808379	0.006240263338	-0.005801456019
10	4.825	    2.425	0.0001828431829	0.006145116068	-0.006054894588
10	4.875	    2.425	0.0001861395056	0.006214340869	-0.006270656602
10	4.925	    2.425	0.0001891395428	0.006333060214	-0.006425205061
10	4.975	    2.425	0.0002615554392	0.005774733868	-0.01352048731
10	4.775	    2.475	0.0001731980655	0.005772438559	-0.005586685061
10	4.825	    2.475	0.0001785571645	0.005848242962	-0.005958513116
10	4.875	    2.475	0.0001838286069	0.00604295899	-0.006228448559
10	4.925	    2.475	0.000187952357	0.006240192641	-0.00640729231
10	4.975	    2.475	0.0003302096047	0.005446456417	-0.01987467169
10	4.775	    2.525	0.0001661822757	0.00521681231	-0.005512400352
10	4.825	    2.525	0.0001751128732	0.005562962672	-0.005933135095
10	4.875	    2.525	0.0001821828861	0.00590197067	-0.00622007693
10	4.925	    2.525	0.0001871848728	0.006172453557	-0.006404796626
10	4.975	    2.525	0.0004501761539	0.004713236145	-0.02842644852

