################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################## 
# (i-0.5)*dx	(j-0.5)*dy	  h[i][j]	  u[i][j]	  v[i][j]	h[i][j]+z[i][j]	  z[i][j]
0.025 	0.025	        0	        0	        0	        1	        1
0.025 	0.075	        0	        0	        0	   1.0015	   1.0015
0.025 	0.125	        0	        0	        0	    1.003	    1.003
0.025 	0.175	        0	        0	        0	   1.0045	   1.0045
0.025 	0.225	        0	        0	        0	    1.006	    1.006
0.025 	0.275	        0	        0	        0	   1.0075	   1.0075
0.025 	0.325	        0	        0	        0	    1.009	    1.009
0.025 	0.375	        0	        0	        0	   1.0105	   1.0105
0.025 	0.425	        0	        0	        0	    1.012	    1.012
0.025 	0.475	        0	        0	        0	   1.0135	   1.0135
0.025 	0.525	        0	        0	        0	    1.015	    1.015
0.025 	0.575	        0	        0	        0	   1.0165	   1.0165
0.025 	0.625	        0	        0	        0	    1.018	    1.018
0.025 	0.675	        0	        0	        0	   1.0195	   1.0195
0.025 	0.725	        0	        0	        0	    1.021	    1.021
0.025 	0.775	        0	        0	        0	   1.0225	   1.0225
0.025 	0.825	        0	        0	        0	    1.024	    1.024
0.025 	0.875	        0	        0	        0	   1.0255	   1.0255
0.025 	0.925	        0	        0	        0	    1.027	    1.027
0.025 	0.975	        0	        0	        0	   1.0285	   1.0285
0.025 	1.025	        0	        0	        0	     1.03	     1.03
0.025 	1.075	        0	        0	        0	   1.0315	   1.0315
0.025 	1.125	        0	        0	        0	    1.033	    1.033
0.025 	1.175	        0	        0	        0	   1.0345	   1.0345
0.025 	1.225	        0	        0	        0	    1.036	    1.036
0.025 	1.275	        0	        0	        0	   1.0375	   1.0375
0.025 	1.325	        0	        0	        0	    1.039	    1.039
0.025 	1.375	        0	        0	        0	   1.0405	   1.0405
0.025 	1.425	        0	        0	        0	    1.042	    1.042
0.025 	1.475	        0	        0	        0	   1.0435	   1.0435
0.025 	1.525	        0	        0	        0	    1.045	    1.045
0.025 	1.575	        0	        0	        0	   1.0465	   1.0465
0.025 	1.625	        0	        0	        0	    1.048	    1.048
0.025 	1.675	        0	        0	        0	   1.0495	   1.0495
0.025 	1.725	        0	        0	        0	    1.051	    1.051
0.025 	1.775	        0	        0	        0	   1.0525	   1.0525
0.025 	1.825	        0	        0	        0	    1.054	    1.054
0.025 	1.875	        0	        0	        0	   1.0555	   1.0555
0.025 	1.925	        0	        0	        0	    1.057	    1.057
0.025 	1.975	        0	        0	        0	   1.0585	   1.0585
0.025 	2.025	        0	        0	        0	     1.06	     1.06
0.025 	2.075	        0	        0	        0	   1.0615	   1.0615
0.025 	2.125	        0	        0	        0	    1.063	    1.063
0.025 	2.175	        0	        0	        0	   1.0645	   1.0645
0.025 	2.225	        0	        0	        0	    1.066	    1.066
0.025 	2.275	        0	        0	        0	   1.0675	   1.0675
0.025 	2.325	        0	        0	        0	    1.069	    1.069
0.025 	2.375	        0	        0	        0	   1.0705	   1.0705
0.025 	2.425	        0	        0	        0	    1.072	    1.072
0.025 	2.475	        0	        0	        0	   1.0735	   1.0735
0.025 	2.525	        0	        0	        0	    1.075	    1.075
0.025 	2.575	        0	        0	        0	   1.0765	   1.0765
0.025 	2.625	        0	        0	        0	    1.078	    1.078
0.025 	2.675	        0	        0	        0	   1.0795	   1.0795
0.025 	2.725	        0	        0	        0	    1.081	    1.081
0.025 	2.775	        0	        0	        0	   1.0825	   1.0825
0.025 	2.825	        0	        0	        0	    1.084	    1.084
0.025 	2.875	        0	        0	        0	   1.0855	   1.0855
0.025 	2.925	        0	        0	        0	    1.087	    1.087
0.025 	2.975	        0	        0	        0	   1.0885	   1.0885
0.025 	3.025	        0	        0	        0	     1.09	     1.09
0.025 	3.075	        0	        0	        0	   1.0915	   1.0915
0.025 	3.125	        0	        0	        0	    1.093	    1.093
0.025 	3.175	        0	        0	        0	   1.0945	   1.0945
0.025 	3.225	        0	        0	        0	    1.096	    1.096
0.025 	3.275	        0	        0	        0	   1.0975	   1.0975
0.025 	3.325	        0	        0	        0	    1.099	    1.099
0.025 	3.375	        0	        0	        0	   1.1005	   1.1005
0.025 	3.425	        0	        0	        0	    1.102	    1.102
0.025 	3.475	        0	        0	        0	   1.1035	   1.1035
0.025 	3.525	        0	        0	        0	    1.105	    1.105
0.025 	3.575	        0	        0	        0	   1.1065	   1.1065
0.025 	3.625	        0	        0	        0	    1.108	    1.108
0.025 	3.675	        0	        0	        0	   1.1095	   1.1095
0.025 	3.725	        0	        0	        0	    1.111	    1.111
0.025 	3.775	        0	        0	        0	   1.1125	   1.1125
0.025 	3.825	        0	        0	        0	    1.114	    1.114
0.025 	3.875	        0	        0	        0	   1.1155	   1.1155
0.025 	3.925	        0	        0	        0	    1.117	    1.117
0.025 	3.975	        0	        0	        0	   1.1185	   1.1185
0.025 	4.025	        0	        0	        0	     1.12	     1.12
0.025 	4.075	        0	        0	        0	   1.1215	   1.1215
0.025 	4.125	        0	        0	        0	    1.123	    1.123
0.025 	4.175	        0	        0	        0	   1.1245	   1.1245
0.025 	4.225	        0	        0	        0	    1.126	    1.126
0.025 	4.275	        0	        0	        0	   1.1275	   1.1275
0.025 	4.325	        0	        0	        0	    1.129	    1.129
0.025 	4.375	        0	        0	        0	   1.1305	   1.1305
0.025 	4.425	        0	        0	        0	    1.132	    1.132
0.025 	4.475	        0	        0	        0	   1.1335	   1.1335
0.025 	4.525	        0	        0	        0	    1.135	    1.135
0.025 	4.575	        0	        0	        0	   1.1365	   1.1365
0.025 	4.625	        0	        0	        0	    1.138	    1.138
0.025 	4.675	        0	        0	        0	   1.1395	   1.1395
0.025 	4.725	        0	        0	        0	    1.141	    1.141
0.025 	4.775	        0	        0	        0	   1.1425	   1.1425
0.025 	4.825	        0	        0	        0	    1.144	    1.144
0.025 	4.875	        0	        0	        0	   1.1455	   1.1455
0.025 	4.925	        0	        0	        0	    1.147	    1.147
0.025 	4.975	        0	        0	        0	   1.1485	   1.1485
0.025 	5.025	        0	        0	        0	     1.15	     1.15
0.025 	5.075	        0	        0	        0	   1.1515	   1.1515
0.025 	5.125	        0	        0	        0	    1.153	    1.153
0.025 	5.175	        0	        0	        0	   1.1545	   1.1545
0.025 	5.225	        0	        0	        0	    1.156	    1.156
0.025 	5.275	        0	        0	        0	   1.1575	   1.1575
0.025 	5.325	        0	        0	        0	    1.159	    1.159
0.025 	5.375	        0	        0	        0	   1.1605	   1.1605
0.025 	5.425	        0	        0	        0	    1.162	    1.162
0.025 	5.475	        0	        0	        0	   1.1635	   1.1635
0.025 	5.525	        0	        0	        0	    1.165	    1.165
0.025 	5.575	        0	        0	        0	   1.1665	   1.1665
0.025 	5.625	        0	        0	        0	    1.168	    1.168
0.025 	5.675	        0	        0	        0	   1.1695	   1.1695
0.025 	5.725	        0	        0	        0	    1.171	    1.171
0.025 	5.775	        0	        0	        0	   1.1725	   1.1725
0.025 	5.825	        0	        0	        0	    1.174	    1.174
0.025 	5.875	        0	        0	        0	   1.1755	   1.1755
0.025 	5.925	        0	        0	        0	    1.177	    1.177
0.025 	5.975	        0	        0	        0	   1.1785	   1.1785
0.025 	6.025	        0	        0	        0	     1.18	     1.18
0.025 	6.075	        0	        0	        0	   1.1815	   1.1815
0.025 	6.125	        0	        0	        0	    1.183	    1.183
0.025 	6.175	        0	        0	        0	   1.1845	   1.1845
0.025 	6.225	        0	        0	        0	    1.186	    1.186
0.025 	6.275	        0	        0	        0	   1.1875	   1.1875
0.025 	6.325	        0	        0	        0	    1.189	    1.189
0.025 	6.375	        0	        0	        0	   1.1905	   1.1905
0.025 	6.425	        0	        0	        0	    1.192	    1.192
0.025 	6.475	        0	        0	        0	   1.1935	   1.1935
0.025 	6.525	        0	        0	        0	    1.195	    1.195
0.025 	6.575	        0	        0	        0	   1.1965	   1.1965
0.025 	6.625	        0	        0	        0	    1.198	    1.198
0.025 	6.675	        0	        0	        0	   1.1995	   1.1995
0.025 	6.725	        0	        0	        0	    1.201	    1.201
0.025 	6.775	        0	        0	        0	   1.2025	   1.2025
0.025 	6.825	        0	        0	        0	    1.204	    1.204
0.025 	6.875	        0	        0	        0	   1.2055	   1.2055
0.025 	6.925	        0	        0	        0	    1.207	    1.207
0.025 	6.975	        0	        0	        0	   1.2085	   1.2085
0.025 	7.025	        0	        0	        0	     1.21	     1.21
0.025 	7.075	        0	        0	        0	   1.2115	   1.2115
0.025 	7.125	        0	        0	        0	    1.213	    1.213
0.025 	7.175	        0	        0	        0	   1.2145	   1.2145
0.025 	7.225	        0	        0	        0	    1.216	    1.216
0.025 	7.275	        0	        0	        0	   1.2175	   1.2175
0.025 	7.325	        0	        0	        0	    1.219	    1.219
0.025 	7.375	        0	        0	        0	   1.2205	   1.2205
0.025 	7.425	        0	        0	        0	    1.222	    1.222
0.025 	7.475	        0	        0	        0	   1.2235	   1.2235
0.025 	7.525	        0	        0	        0	    1.225	    1.225
0.025 	7.575	        0	        0	        0	   1.2265	   1.2265
0.025 	7.625	        0	        0	        0	    1.228	    1.228
0.025 	7.675	        0	        0	        0	   1.2295	   1.2295
0.025 	7.725	        0	        0	        0	    1.231	    1.231
0.025 	7.775	        0	        0	        0	   1.2325	   1.2325
0.025 	7.825	        0	        0	        0	    1.234	    1.234
0.025 	7.875	        0	        0	        0	   1.2355	   1.2355
0.025 	7.925	        0	        0	        0	    1.237	    1.237
0.025 	7.975	        0	        0	        0	   1.2385	   1.2385
0.025 	8.025	        0	        0	        0	     1.24	     1.24
0.025 	8.075	        0	        0	        0	   1.2415	   1.2415
0.025 	8.125	        0	        0	        0	    1.243	    1.243
0.025 	8.175	        0	        0	        0	   1.2445	   1.2445
0.025 	8.225	        0	        0	        0	    1.246	    1.246
0.025 	8.275	        0	        0	        0	   1.2475	   1.2475
0.025 	8.325	        0	        0	        0	    1.249	    1.249
0.025 	8.375	        0	        0	        0	   1.2505	   1.2505
0.025 	8.425	        0	        0	        0	    1.252	    1.252
0.025 	8.475	        0	        0	        0	   1.2535	   1.2535
0.025 	8.525	        0	        0	        0	    1.255	    1.255
0.025 	8.575	        0	        0	        0	   1.2565	   1.2565
0.025 	8.625	        0	        0	        0	    1.258	    1.258
0.025 	8.675	        0	        0	        0	   1.2595	   1.2595
0.025 	8.725	        0	        0	        0	    1.261	    1.261
0.025 	8.775	        0	        0	        0	   1.2625	   1.2625
0.025 	8.825	        0	        0	        0	    1.264	    1.264
0.025 	8.875	        0	        0	        0	   1.2655	   1.2655
0.025 	8.925	        0	        0	        0	    1.267	    1.267
0.025 	8.975	        0	        0	        0	   1.2685	   1.2685
0.025 	9.025	        0	        0	        0	     1.27	     1.27
0.025 	9.075	        0	        0	        0	   1.2715	   1.2715
0.025 	9.125	        0	        0	        0	    1.273	    1.273
0.025 	9.175	        0	        0	        0	   1.2745	   1.2745
0.025 	9.225	        0	        0	        0	    1.276	    1.276
