################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################## 
# Discharge on the left, right, bottom and top boundaries at each time
# time	left discharge (m^3/s)	right discharge (m^3/s)	bottom discharge (m^3/s)	top discharge (m^3/s)
1.1	-1.86631e-10	1.52615e-07	        0	        0
2	-1.0235e-09	3.76707e-07	        0	        0
3	-3.06597e-09	6.94828e-07	        0	        0
4	-6.37987e-09	1.07129e-06	        0	        0
5.1	-1.13886e-08	1.54073e-06	        0	        0
6.1	-1.69804e-08	2.00899e-06	        0	        0
7.1	-2.33343e-08	2.50935e-06	        0	        0
8.1	-3.02319e-08	3.03516e-06	        0	        0
9.1	-3.74721e-08	3.58022e-06	        0	        0
10.1	-4.48788e-08	4.13877e-06	        0	        0
11.1	-5.23034e-08	4.70547e-06	        0	        0
12.1	-5.96246e-08	5.2755e-06	        0	        0
13.1	-6.67467e-08	5.78422e-06	        0	        0
14.1	-7.35973e-08	6.24346e-06	        0	        0
15.1	-8.01237e-08	6.68117e-06	        0	        0
16.1	-8.62908e-08	7.09903e-06	        0	        0
17.1	-9.20776e-08	7.4991e-06	        0	        0
18.1	-9.74746e-08	7.88351e-06	        0	        0
19	-1.01998e-07	8.2178e-06	        0	        0
20	-1.0666e-07	8.57802e-06	        0	        0
21	-1.10949e-07	8.92821e-06	        0	        0
22	-1.14882e-07	 9.27e-06	        0	        0
23	-1.18476e-07	9.60481e-06	        0	        0
24	-1.21753e-07	9.93117e-06	        0	        0
25	-1.24731e-07	1.02504e-05	        0	        0
26	-1.27434e-07	1.05648e-05	        0	        0
27	-1.29881e-07	1.08776e-05	        0	        0
28	-1.32093e-07	1.11917e-05	        0	        0
29	-1.3409e-07	1.15096e-05	        0	        0
30	-1.3589e-07	1.18331e-05	        0	        0
31	-1.3751e-07	1.2164e-05	        0	        0
32	-1.38968e-07	1.25035e-05	        0	        0
33	-1.40278e-07	1.28527e-05	        0	        0
34	-1.41454e-07	1.32124e-05	        0	        0
35	-1.4251e-07	1.3583e-05	        0	        0
36	-1.43456e-07	1.39651e-05	        0	        0
37	-1.44304e-07	1.43587e-05	        0	        0
38	-1.45064e-07	1.47641e-05	        0	        0
39	-1.45743e-07	1.51811e-05	        0	        0
40	-1.46352e-07	1.56097e-05	        0	        0
41	-1.46896e-07	1.60498e-05	        0	        0
42	-1.47383e-07	1.37533e-05	        0	        0
43	-1.47818e-07	1.42318e-05	        0	        0
44	-1.48207e-07	1.47018e-05	        0	        0
45	-1.48554e-07	1.51749e-05	        0	        0
