################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2017-05-09
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.125	    0.125	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    0.375	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    0.625	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    0.875	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    1.125	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    1.375	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    1.625	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    1.875	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    2.125	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    2.375	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    2.625	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    2.875	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    3.125	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    3.375	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    3.625	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    3.875	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    4.125	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    4.375	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    4.625	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08
0.125	    4.875	7.04203e-05	0.000874544	        0	       50	  49.9999	0.000874544	0.0332735	1.53964e-08	        0	6.15857e-08

0.375	    0.125	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    0.375	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    0.625	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    0.875	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    1.125	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    1.375	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    1.625	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    1.875	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    2.125	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    2.375	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    2.625	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    2.875	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    3.125	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    3.375	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    3.625	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    3.875	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    4.125	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    4.375	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    4.625	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06
0.375	    4.875	0.000225263	0.00896571	        0	  49.9998	  49.9996	0.00896571	 0.190724	5.04911e-07	        0	2.01964e-06

0.625	    0.125	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    0.375	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    0.625	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    0.875	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    1.125	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    1.375	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    1.625	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    1.875	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    2.125	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    2.375	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    2.625	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    2.875	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    3.125	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    3.375	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    3.625	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    3.875	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    4.125	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    4.375	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    4.625	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06
0.625	    4.875	0.000259604	0.0108069	        0	  49.9997	  49.9994	0.0108069	 0.214146	7.01379e-07	        0	2.80552e-06

0.875	    0.125	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    0.375	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    0.625	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    0.875	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    1.125	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    1.375	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    1.625	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    1.875	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    2.125	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    2.375	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    2.625	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    2.875	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    3.125	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    3.375	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    3.625	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    3.875	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    4.125	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    4.375	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    4.625	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06
0.875	    4.875	0.000360414	0.0137962	        0	  49.9995	  49.9991	0.0137962	 0.232019	1.24308e-06	        0	4.97234e-06

